Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Statistic
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.0760962245132142,-1.6025117163322173,-0.5496807326942111,-1.0760962245132142,-1.6025117163322173,-0.5496807326942111,1.0528309836380063,-0.1347203755596805,-0.2006242335444728,-0.06881651757488823,0.13180771596958457,9.739041930229423,8.102349653024753,11.375734207434093,,0.00025378729891599786,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,,,0.0,,,,,,,,0.0,,,,,,,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,0.037601137004314056,0.02443474115529074,0.05076753285333737,0.037601137004314056,0.02443474115529074,0.05076753285333737,0.02633279169804663,0.19430085203215514,0.12626456016778018,0.2623371438965301,0.13607258372874995,0.12356616649478745,0.08263017821250228,0.16450215477707264,,2.742611696644258e-06,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,8606.152040858979,6871.9269819523915,10340.377099765567,8606.152040858979,6871.9269819523915,10340.377099765567,3468.450117813175,0.12290969651162585,0.0981421726913297,0.14767722033192202,0.049535047640592314,53279.62188790161,47887.69705863927,58671.54671716395,,6.693898633248713e-11,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,8498.307356966576,6841.955266249048,10154.659447684104,8498.307356966576,6841.955266249048,10154.659447684104,3312.704181435056,0.12297007937377241,0.09900274805579201,0.1469374106917528,0.0479346626359608,52582.51347210451,47432.705540271665,57732.321403937356,,3.1751261436136656e-11,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,61340.720826346595,-29184.186024724397,151865.6276774176,61340.720826346595,-29184.186024724397,151865.6276774176,181049.81370214198,0.028980036488010022,-0.013787884532098966,0.071747957508119,0.08553584204021797,2095667.7199513721,1814214.346636207,2377121.093266537,,0.1760761350848037,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,60077.28778098437,-32351.54452200581,152506.12008397456,60077.28778098437,-32351.54452200581,152506.12008397456,184857.66460598036,0.028026564376018696,-0.015092269952582976,0.07114539870462036,0.08623766865720334,2119128.114222248,1831755.1961141247,2406501.0323303714,,0.19378570017564178,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.033576606824121516,-0.07395018820342211,0.0067969745551790875,-0.033576606824121516,-0.07395018820342211,0.0067969745551790875,0.0807471627586012,-0.027212196728967873,-0.05993300871873827,0.005508615260802532,0.0654416239795408,1.2876249016728123,1.1620983359209904,1.4131514674246342,,0.09954062205379993,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.03694224713979159,-0.07959977627679005,0.005715281997206861,-0.03694224713979159,-0.07959977627679005,0.005715281997206861,0.08531505827399691,-0.02909381947638589,-0.06268870197836857,0.004501063025596788,0.06718976500396535,1.3287823193196484,1.1961546714099933,1.4614099672293035,,0.0869465294420708,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0.0,,,0.0,,,,,,,,0.0,,,,,,,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,0.030508905539818908,0.00643056183748986,0.05458724924214796,0.030508905539818908,0.00643056183748986,0.05458724924214796,0.0481566874046581,0.049559262049565206,0.010445930248600625,0.0886725938505298,0.07822666360192918,0.5626064055022442,0.4877437926081852,0.6374690183963032,,0.014872402781259682,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,137824.80121922528,32552.10777607013,243097.49466238043,137824.80121922528,32552.10777607013,243097.49466238043,210545.3868863103,0.08074136310856198,0.019069873713919775,0.14241285250320418,0.12334297878928441,1437706.1427754897,1110400.037547515,1765012.2480034644,,0.01214083655913452,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,138375.42585162172,34632.072398276054,242118.77930496738,138375.42585162172,34632.072398276054,242118.77930496738,207486.7069066913,0.08268665423266111,0.02069449960592969,0.14467880885939252,0.12398430925346283,1400798.1687196982,1078246.974753723,1723349.3626856734,,0.01077048623143387,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,-1358.5066651112093,-22929.763081126755,20212.749750904335,-1358.5066651112093,-22929.763081126755,20212.749750904335,43142.51283203109,-0.0029778872932485156,-0.05026272735356556,0.04430695276706852,0.09456968012063408,438982.52066667436,371914.758918824,506050.2824145247,,0.8982768231231599,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,-3414.785152350246,-25584.868217150062,18755.29791244957,-3414.785152350246,-25584.868217150062,18755.29791244957,44340.16612959963,-0.007424206200998302,-0.05562497457234096,0.04077656217034435,0.09640153674268531,445973.7325829516,377044.1431216673,514903.3220442359,,0.7547145495856546,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,-0.4234043575733691,-0.7236924760163068,-0.1231162391304314,-0.4234043575733691,-0.7236924760163068,-0.1231162391304314,0.6005762368858754,-0.06308587848475447,-0.10782783593431627,-0.01834392103519268,0.08948391489912359,7.318485745850175,6.384852043898138,8.252119447802212,,0.00739211311653476,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-0.4665221264933645,-0.7574414670299616,-0.17560278595676743,-0.4665221264933645,-0.7574414670299616,-0.17560278595676743,0.5818386810731941,-0.06827545390443408,-0.11085146240806787,-0.025699445400800318,0.08515201700726754,7.452531179479079,6.54802619179259,8.357036167165568,,0.002744597048039553,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.018570249009687383,0.007647403663324125,0.02949309435605064,0.018570249009687383,0.007647403663324125,0.02949309435605064,0.021845690692726516,0.33747804425591654,0.13897664110954233,0.5359794474022908,0.3970028062927484,0.020085278031139037,-0.013875228263460066,0.054045784325738144,,0.001649578101354739,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,0.024127220768597316,0.013715952844551765,0.034538488692642866,0.024127220768597316,0.013715952844551765,0.034538488692642866,0.0208225358480911,0.07159934500975079,0.04070312321810069,0.10249556680140089,0.061792443583300195,0.2896890787580481,0.2573191313077688,0.32205902620832744,,5.538267997586384e-05,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,1962.343256974383,-473.8891100756075,4398.575624024374,1962.343256974383,-473.8891100756075,4398.575624024374,4872.464734099981,0.029695374180403213,-0.007171178841264852,0.06656192720207128,0.07373310604333613,63440.35400060907,55865.79975098272,71014.90825023541,,0.11012697068624569,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,1672.3577333228109,-460.2179598019279,3804.9334264475497,1672.3577333228109,-460.2179598019279,3804.9334264475497,4265.151386249478,0.025818075128263073,-0.0071049044261205264,0.05874105468264667,0.0658459591087672,63799.755891332505,57169.30860827315,70430.20317439186,,0.11941679826373851,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,202540.3981489981,24753.46904069651,380327.3272572997,202540.3981489981,24753.46904069651,380327.3272572997,355573.85821660317,0.11050226301730351,0.013505030954434588,0.20749949508017243,0.19399446412573784,1610117.2079981924,1057355.18183894,2162879.234157445,,0.02702188342410814,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,196649.78029228712,13460.971337271534,379838.58924730273,196649.78029228712,13460.971337271534,379838.58924730273,366377.61791003123,0.10617944257444174,0.007268141520309074,0.20509074362857443,0.19782260210826536,1657869.8874827207,1088312.7343469532,2227427.040618488,,0.036309637798795945,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,-0.0031158929318201027,-0.05882777491565662,0.052595989052016415,-0.0031158929318201027,-0.05882777491565662,0.052595989052016415,0.11142376396767303,-0.002349313304334602,-0.04435482132982763,0.03965619472115843,0.08401101605098607,1.3254029659736632,1.1521876856322657,1.4986182463150608,,0.9096077268370013,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.0029931027105051422,-0.06320984966690703,0.057223644245896745,-0.0029931027105051422,-0.06320984966690703,0.057223644245896745,0.12043349391280378,-0.0022073285727522607,-0.04661547589377293,0.04220081874826841,0.08881629464204133,1.3607096980309044,1.1734882232954735,1.5479311727663352,,0.9196275250498283,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,0.0,,,0.0,,,,,,,,0.0,,,,,,,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,-0.01878307040335934,-0.06120478668410789,0.023638645877389213,-0.01878307040335934,-0.06120478668410789,0.023638645877389213,0.08484343256149711,-0.027959058444345965,-0.09110481786133581,0.03518670097264389,0.1262915188339797,0.7119114660831031,0.5800169901387262,0.8438059420274799,,0.3721605005405033,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
