Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,263256.7736420168,29774.399690316903,496739.14759371674,263256.7736420168,29774.399690316903,496739.14759371674,466964.74790339987,0.12437400152925185,0.014066727254097864,0.23468127580440584,0.220614548550308,1617925.9074775742,1022660.3170477321,2213191.4979074164,,0.029234473627978767,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,261574.9782440236,7721.674744875665,515428.2817431715,261574.9782440236,7721.674744875665,515428.2817431715,507706.6069982959,0.12202694625026392,0.0036022267702376896,0.24045166573029012,0.23684943896005242,1643943.3785319736,996741.9044659002,2291144.852598047,,0.04408434803880989,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.08898729733906384,-0.22875676671942158,0.05078217204129391,-0.08898729733906384,-0.22875676671942158,0.05078217204129391,0.2795389387607155,-0.0721198498184791,-0.1853961650043647,0.041156465367406504,0.2265526303717712,1.4242836572183761,1.0679400313308998,1.7806272831058525,,0.19768415367410686,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.09581235595814203,-0.24233209300833272,0.05070738109204867,-0.09581235595814203,-0.24233209300833272,0.05070738109204867,0.2930394741003814,-0.07545689836639255,-0.19084832984415365,0.03993453311136854,0.2307828629555222,1.4747445316406018,1.1011910324678993,1.8482980308133043,,0.18636073744781873,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0.0,,,0.0,,,,,,,,0.0,,,,,,,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.04163301471821577,-0.10756981981163405,0.024303790375202507,-0.04163301471821577,-0.10756981981163405,0.024303790375202507,0.13187361018683655,-0.10830776239163087,-0.27984152873684354,0.06322600395358177,0.34306753269042534,0.46428453899016126,0.29617801107250974,0.6323910669078128,,0.20124664128274747,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,356330.03809641226,332889.8296022208,379770.2465906037,356330.03809641226,332889.8296022208,379770.2465906037,46880.41698838293,0.20874742962021348,0.19501554414947345,0.2224793150909535,0.02746377094148006,993648.0326985535,933886.9924412707,1053409.0729558363,,2.6506543830807865e-17,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,349899.74205832183,325053.45815537963,374746.02596126404,349899.74205832183,325053.45815537963,374746.02596126404,49692.567805884406,0.2090836491350512,0.19423667704152295,0.22393062122857946,0.02969394418705651,973510.6861506259,910164.8429199418,1036856.5293813101,,1.0244369005148545e-16,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,-43262.22057092841,-107295.89993499336,20771.45879313653,-43262.22057092841,-107295.89993499336,20771.45879313653,128067.35872812988,-0.09483208306919573,-0.23519582585774432,0.04553165971935286,0.28072748557709715,541795.7608289805,378541.2705267251,705050.2511312359,,0.1728635815083488,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,-44368.60124335344,-108970.06367334045,20232.86118663357,-44368.60124335344,-108970.06367334045,20232.86118663357,129202.92485997402,-0.09646335853774372,-0.23691570226313766,0.04398898518765021,0.2809046874507879,547397.0127147048,382694.95394613757,712099.0714832721,,0.16621917132372607,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
