IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.02,-0.035,-0.0039,-0.02,-0.035,-0.0039,0.031,-0.031,-0.055,-0.0061,0.049,0.68,0.62,0.73,0.28,0.017,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,inf,nan,nan,inf,nan,nan,nan,nan,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,inf,nan,nan,inf,nan,nan,nan,nan,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,-210'000,-310'000,-110'000,-210'000,-310'000,-110'000,200'000,-0.11,-0.16,-0.055,0.1,3.3e+06,2.9e+06,3.6e+06,0.51,0.00039,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,-210'000,-320'000,-110'000,-210'000,-320'000,-110'000,210'000,-0.11,-0.16,-0.054,0.11,3.3e+06,2.9e+06,3.7e+06,0.5,0.00045,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,-0.011,-0.061,0.038,-0.011,-0.061,0.038,0.099,-0.0086,-0.046,0.029,0.075,1.4,1.2,1.6,0.013,0.64,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.013,-0.066,0.04,-0.013,-0.066,0.04,0.11,-0.0095,-0.049,0.03,0.079,1.4,1.2,1.6,0.014,0.62,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,-0.001,-0.0026,0.00055,-0.001,-0.0026,0.00055,0.0031,-0.66,-1.7,0.36,2,0.0041,-0.0014,0.0097,0.094,0.19,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.018,-0.035,0.071,0.018,-0.035,0.071,0.11,0.065,-0.13,0.25,0.38,0.26,0.075,0.45,0.028,0.48,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,-140'000,-160'000,-120'000,-140'000,-160'000,-120'000,43'000,-0.093,-0.11,-0.079,0.028,2.4e+06,2.3e+06,2.5e+06,0.92,4.4e-11,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,-140'000,-160'000,-120'000,-140'000,-160'000,-120'000,43'000,-0.092,-0.11,-0.078,0.028,2.4e+06,2.3e+06,2.4e+06,0.91,6.5e-11,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,2'900,-27'000,33'000,2'900,-27'000,33'000,61'000,0.0055,-0.051,0.062,0.11,470'000,360'000,570'000,nan,0.84,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,3'100,-26'000,33'000,3'100,-26'000,33'000,59'000,0.0057,-0.049,0.06,0.11,470'000,360'000,570'000,nan,0.83,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-0.39,-0.85,0.064,-0.39,-0.85,0.064,0.91,-0.051,-0.11,0.0082,0.12,7.1,5.4,8.7,nan,0.088,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-0.32,-0.81,0.18,-0.32,-0.81,0.18,0.99,-0.04,-0.1,0.022,0.12,6.9,5.1,8.6,nan,0.19,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.017,-0.043,0.0085,-0.017,-0.043,0.0085,0.051,-0.021,-0.053,0.011,0.063,0.8,0.71,0.89,nan,0.18,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,6'400,3'700,9'000,6'400,3'700,9'000,5'300,0.091,0.053,0.13,0.076,61'000,52'000,71'000,nan,9e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,6'500,4'000,9'000,6'500,4'000,9'000,5'100,0.094,0.057,0.13,0.073,60'000,51'000,69'000,nan,4.1e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,-96'000,-230'000,35'000,-96'000,-230'000,35'000,260'000,-0.045,-0.11,0.017,0.12,2.7e+06,2.2e+06,3.2e+06,nan,0.14,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,-100'000,-240'000,38'000,-100'000,-240'000,38'000,280'000,-0.048,-0.11,0.018,0.13,2.7e+06,2.2e+06,3.2e+06,nan,0.14,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.0032,-0.063,0.057,-0.0032,-0.063,0.057,0.12,-0.0026,-0.051,0.046,0.097,1.2,0.95,1.4,nan,0.91,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.0014,-0.061,0.058,-0.0014,-0.061,0.058,0.12,-0.0011,-0.048,0.046,0.094,1.2,0.98,1.4,nan,0.96,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.024,-0.072,0.024,-0.024,-0.072,0.024,0.095,-0.063,-0.19,0.061,0.25,0.41,0.24,0.58,nan,0.3,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,-79'000,-95'000,-63'000,-79'000,-95'000,-63'000,32'000,-0.046,-0.056,-0.037,0.019,2.3e+06,2.2e+06,2.4e+06,nan,6.5e-09,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,-75'000,-94'000,-57'000,-75'000,-94'000,-57'000,37'000,-0.045,-0.056,-0.034,0.022,2.2e+06,2.2e+06,2.3e+06,nan,9.9e-08,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,24'000,-3'100,51'000,24'000,-3'100,51'000,54'000,0.052,-0.0068,0.11,0.12,340'000,250'000,440'000,nan,0.08,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,24'000,-9'100,57'000,24'000,-9'100,57'000,66'000,0.052,-0.02,0.12,0.14,340'000,220'000,460'000,nan,0.14,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,0.00035,-0.42,0.42,0.00035,-0.42,0.42,0.83,5.2e-05,-0.062,0.062,0.12,5.7,4.2,7.1,nan,1,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-0.017,-0.43,0.4,-0.017,-0.43,0.4,0.82,-0.0024,-0.063,0.058,0.12,5.8,4.3,7.2,nan,0.93,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.018,0.0038,0.032,0.018,0.0038,0.032,0.029,0.33,0.069,0.59,0.52,0.022,-0.029,0.072,nan,0.016,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.014,-0.036,0.0071,-0.014,-0.036,0.0071,0.043,-0.022,-0.054,0.011,0.065,0.67,0.6,0.75,nan,0.18,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,300,-2'800,3'400,300,-2'800,3'400,6'300,0.0045,-0.043,0.052,0.095,70'000,59'000,81'000,nan,0.85,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,630,-2'200,3'500,630,-2'200,3'500,5'700,0.0097,-0.034,0.054,0.088,68'000,58'000,78'000,nan,0.65,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,-130'000,-310'000,48'000,-130'000,-310'000,48'000,360'000,-0.071,-0.17,0.026,0.19,2.9e+06,2.3e+06,3.5e+06,nan,0.14,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,-150'000,-310'000,13'000,-150'000,-310'000,13'000,320'000,-0.08,-0.17,0.0072,0.17,3e+06,2.4e+06,3.6e+06,nan,0.07,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,0.0012,-0.073,0.076,0.0012,-0.073,0.076,0.15,0.00089,-0.055,0.057,0.11,1.3,1,1.6,nan,0.97,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.0068,-0.081,0.068,-0.0068,-0.081,0.068,0.15,-0.005,-0.06,0.05,0.11,1.4,1.1,1.6,nan,0.85,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.015,-0.04,0.07,0.015,-0.04,0.07,0.11,0.045,-0.12,0.21,0.34,0.3,0.11,0.5,nan,0.58,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,-91'000,-120'000,-59'000,-91'000,-120'000,-59'000,64'000,-0.058,-0.078,-0.037,0.041,2.2e+06,2.1e+06,2.3e+06,nan,1.2e-05,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,-90'000,-120'000,-60'000,-90'000,-120'000,-60'000,60'000,-0.058,-0.078,-0.039,0.039,2.2e+06,2.1e+06,2.3e+06,nan,6.6e-06,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Quantile Regression,quantile-regression,median
