IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,230'000,110'000,340'000,230'000,110'000,340'000,220'000,0.11,0.057,0.17,0.11,1.7e+06,1.3e+06,2e+06,0.38,0.0003,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,230'000,110'000,340'000,230'000,110'000,340'000,230'000,0.11,0.056,0.17,0.11,1.7e+06,1.3e+06,2.1e+06,0.37,0.00034,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,0.016,-0.016,0.047,0.016,-0.016,0.047,0.063,0.012,-0.012,0.036,0.048,1.3,1.2,1.4,0.036,0.32,False,0,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,0.017,-0.017,0.052,0.017,-0.017,0.052,0.068,0.013,-0.012,0.038,0.051,1.3,1.2,1.4,0.038,0.3,False,0,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,-0.00075,-0.0016,9.3e-05,-0.00075,-0.0016,9.3e-05,0.0017,-0.49,-1,0.06,1.1,0.0031,0.00051,0.0057,0.11,0.079,False,0,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.028,-0.0021,0.058,0.028,-0.0021,0.058,0.06,0.1,-0.0077,0.21,0.22,0.23,0.13,0.32,0.11,0.067,False,0,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,160'000,89'000,220'000,160'000,89'000,220'000,130'000,0.1,0.058,0.15,0.088,1.3e+06,1.1e+06,1.5e+06,0.45,5.6e-05,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,150'000,87'000,220'000,150'000,87'000,220'000,130'000,0.1,0.058,0.15,0.088,1.3e+06,1.1e+06,1.5e+06,0.45,5.5e-05,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-26'000,-47'000,-6'000,-26'000,-47'000,-6'000,41'000,-0.049,-0.087,-0.011,0.076,580'000,510'000,640'000,nan,0.013,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-26'000,-47'000,-4'900,-26'000,-47'000,-4'900,42'000,-0.048,-0.086,-0.0091,0.077,580'000,510'000,640'000,nan,0.017,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
